Counts,Time,TimeSquare,Material,Sample
1867,0,0,Ag,One
1575,0.5,0.25,Ag,One
1379,1.02,1.0404,Ag,One
1134,1.52,2.3104,Ag,One
974,2.02,4.0804,Ag,One
830,2.52,6.3504,Ag,One
720,3.02,9.1204,Ag,One
597,3.52,12.3904,Ag,One
505,4.02,16.1604,Ag,One
464,4.53,20.5209,Ag,One
387,5.03,25.3009,Ag,One
348,5.53,30.5809,Ag,One
303,6.03,36.3609,Ag,One
255,6.53,42.6409,Ag,One
248,7.03,49.4209,Ag,One
195,7.55,57.0025,Ag,One
198,8.05,64.8025,Ag,One
141,8.55,73.1025,Ag,One
133,9.05,81.9025,Ag,One
121,9.55,91.2025,Ag,One
108,10.05,101.0025,Ag,One
76,10.57,111.7249,Ag,One
86,11.07,122.5449,Ag,One
74,11.57,133.8649,Ag,One
56,12.07,145.6849,Ag,One
53,12.57,158.0049,Ag,One
57,13.07,170.8249,Ag,One
44,13.57,184.1449,Ag,One
47,14.08,198.2464,Ag,One
30,14.58,212.5764,Ag,One
32,15.08,227.4064,Ag,One
34,15.58,242.7364,Ag,One
32,16.08,258.5664,Ag,One
33,16.58,274.8964,Ag,One
20,17.1,292.41,Ag,One
23,17.6,309.76,Ag,One
19,18.1,327.61,Ag,One
19,18.6,345.96,Ag,One
11,19.1,364.81,Ag,One
14,19.6,384.16,Ag,One
1979,0,0,Ag,Two
1630,0.5,0.25,Ag,Two
1259,1.02,1.0404,Ag,Two
1133,1.52,2.3104,Ag,Two
937,2.02,4.0804,Ag,Two
839,2.52,6.3504,Ag,Two
704,3.02,9.1204,Ag,Two
586,3.52,12.3904,Ag,Two
554,4.03,16.2409,Ag,Two
498,4.53,20.5209,Ag,Two
387,5.03,25.3009,Ag,Two
382,5.53,30.5809,Ag,Two
271,6.03,36.3609,Ag,Two
258,6.53,42.6409,Ag,Two
198,7.05,49.7025,Ag,Two
200,7.55,57.0025,Ag,Two
177,8.05,64.8025,Ag,Two
149,8.55,73.1025,Ag,Two
126,9.05,81.9025,Ag,Two
120,9.57,91.5849,Ag,Two
95,10.07,101.4049,Ag,Two
87,10.57,111.7249,Ag,Two
69,11.07,122.5449,Ag,Two
59,11.57,133.8649,Ag,Two
62,12.07,145.6849,Ag,Two
65,12.58,158.2564,Ag,Two
51,13.08,171.0864,Ag,Two
41,13.58,184.4164,Ag,Two
36,14.08,198.2464,Ag,Two
34,14.58,212.5764,Ag,Two
38,15.08,227.4064,Ag,Two
36,15.58,242.7364,Ag,Two
25,16.1,259.21,Ag,Two
15,16.6,275.56,Ag,Two
21,17.1,292.41,Ag,Two
18,17.6,309.76,Ag,Two
15,18.1,327.61,Ag,Two
26,18.6,345.96,Ag,Two
17,19.12,365.5744,Ag,Two
12,19.62,384.9444,Ag,Two
1951,0,0,Al,One
1489,1,1,Al,One
1088,2,4,Al,One
830,3,9,Al,One
673,4,16,Al,One
574,5,25,Al,One
415,6,36,Al,One
378,7,49,Al,One
282,8,64,Al,One
247,9,81,Al,One
207,10,100,Al,One
207,11,121,Al,One
173,12,144,Al,One
145,13,169,Al,One
148,14,196,Al,One
129,15,225,Al,One
113,16,256,Al,One
88,17,289,Al,One
90,18,324,Al,One
80,19,361,Al,One
87,20,400,Al,One
71,21,441,Al,One
62,22,484,Al,One
